exerciseId,exerciseName,category,primaryMuscles,equipment,resultType,status,confidence,moveKitSlug,moveKitTitle,moveKitUrl,moveKitPrimaryMuscles,moveKitSecondaryMuscles,moveKitEquipment,notes
chin-up-biceps-focus,Подтягивания обратным хватом с акцентом на бицепс,strength,biceps,Турник,reps_only,needs_manual_review,0.3,chin-ups,Chin Ups,https://movekit.com/exercises/chin-ups,Back,Biceps,Bodyweight,Possible candidates need visual/manual check: chin-ups (0.67).
close-grip-bench-press,Жим штанги узким хватом,strength,triceps,"Штанга, скамья",weight_reps,reusable_asset,0.55,barbell-bench-press,Barbell Bench Press,https://movekit.com/exercises/barbell-bench-press,Chest,Triceps,Barbell,"Temporary fallback: close base movement exists, but loading/modifier differs."
ez-bar-skull-crusher,Французский жим лежа с EZ-грифом,strength,triceps,"EZ-гриф, скамья",weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
barbell-lying-triceps-extension,Французский жим лежа со штангой,strength,triceps,"Штанга, скамья",weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
dumbbell-lying-triceps-extension,Разгибание рук с гантелями лежа,strength,triceps,"Гантели, скамья",weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
single-dumbbell-overhead-triceps-extension,Разгибание одной гантели из-за головы,strength,triceps,Гантель,weight_reps,needs_manual_review,0.3,dumbbell-seated-overhead-tricep-extension,Dumbbell Seated Overhead Tricep Extension,https://movekit.com/exercises/dumbbell-seated-overhead-tricep-extension,Triceps,,Dumbbell,Possible candidates need visual/manual check: dumbbell-seated-overhead-tricep-extension (0.60).
two-dumbbell-overhead-triceps-extension,Разгибание двух гантелей из-за головы,strength,triceps,Гантели,weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
cable-overhead-triceps-extension,Разгибание рук из-за головы на блоке,strength,triceps,"Кроссовер, канат",weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
rope-triceps-pushdown,Разгибание рук с канатом на блоке,strength,triceps,"Верхний блок, канат",weight_reps,needs_manual_review,0.3,cable-rope-pushdown,Cable Rope Pushdown,https://movekit.com/exercises/cable-rope-pushdown,Triceps,,Cable Machine,Possible candidates need visual/manual check: cable-rope-pushdown (0.67).
straight-bar-triceps-pushdown,Разгибание рук с прямой рукоятью на блоке,strength,triceps,"Верхний блок, прямая рукоять",weight_reps,needs_manual_review,0.3,cable-bar-pushdown,Cable Bar Pushdown,https://movekit.com/exercises/cable-bar-pushdown,Triceps,,Cable Machine,Possible candidates need visual/manual check: cable-bar-pushdown (0.67).
reverse-grip-triceps-pushdown,Разгибание рук обратным хватом на блоке,strength,triceps,Верхний блок,weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
single-arm-cable-triceps-pushdown,Разгибание одной руки на блоке,strength,triceps,"Верхний блок, рукоять",weight_reps,needs_manual_review,0.3,cable-single-arm-rope-pushdown,Cable Single Arm Rope Pushdown,https://movekit.com/exercises/cable-single-arm-rope-pushdown,Triceps,,Cable Machine,Possible candidates need visual/manual check: cable-single-arm-rope-pushdown (0.67); cable-single-arm-rope-pushdown (0.60).
triceps-kickback,Разгибание руки назад с гантелью,strength,triceps,Гантель,weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
cable-triceps-kickback,Разгибание руки назад в кроссовере,strength,triceps,Кроссовер,weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
triceps-dip,Отжимания на брусьях с акцентом на трицепс,strength,triceps,Брусья,reps_only,reusable_asset,0.55,machine-dips,Machine Dips,https://movekit.com/exercises/machine-dips,Chest,Triceps,Machine,"Temporary fallback: close base movement exists, but loading/modifier differs."
weighted-triceps-dip,Отжимания на брусьях с весом с акцентом на трицепс,strength,triceps,"Брусья, пояс с отягощением",weighted_bodyweight,reusable_asset,0.55,machine-dips,Machine Dips,https://movekit.com/exercises/machine-dips,Chest,Triceps,Machine,"Temporary fallback: close base movement exists, but loading/modifier differs."
assisted-triceps-dip-machine,Отжимания на брусьях в гравитроне с акцентом на трицепс,strength,triceps,Гравитрон,assisted_bodyweight,reusable_asset,0.55,machine-dips,Machine Dips,https://movekit.com/exercises/machine-dips,Chest,Triceps,Machine,"Temporary fallback: close base movement exists, but loading/modifier differs."
bench-dip,Обратные отжимания от скамьи,strength,triceps,Скамья,reps_only,exact_alias_or_title,0.9,bench-dips,Bench Dips,https://movekit.com/exercises/bench-dips,Triceps,,Bodyweight,Search alias/name equals MoveKit title or slug after normalization.
diamond-push-up-triceps,Алмазные отжимания с акцентом на трицепс,strength,triceps,Собственный вес,reps_only,needs_manual_review,0.3,diamond-push-ups,Diamond Push Ups,https://movekit.com/exercises/diamond-push-ups,Triceps,,Bodyweight,Possible candidates need visual/manual check: diamond-push-ups (0.75); diamond-push-ups (0.75).
jm-press,JM-жим,strength,triceps,"Штанга, скамья",weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
machine-triceps-extension,Разгибание рук в тренажере,strength,triceps,Тренажер для трицепса,weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
barbell-back-squat,Приседания со штангой на спине,strength,quads,"Штанга, стойки",weight_reps,renamed_match,0.75,barbell-banded-back-squat,Barbell Banded Back Squat,https://movekit.com/exercises/barbell-banded-back-squat,Quadriceps,Glutes,Barbell,High token overlap (0.75) with provider naming.
front-squat,Фронтальные приседания,strength,quads,"Штанга, стойки",weight_reps,reusable_asset,0.55,barbell-squat,Barbell Squat,https://movekit.com/exercises/barbell-squat,Quadriceps,Glutes,Barbell,"Temporary fallback: close base movement exists, but loading/modifier differs."
goblet-squat,Гоблет-присед,strength,quads,Гантель или гиря,weight_reps,reusable_asset,0.55,barbell-squat,Barbell Squat,https://movekit.com/exercises/barbell-squat,Quadriceps,Glutes,Barbell,"Temporary fallback: close base movement exists, but loading/modifier differs."
hack-squat-machine,Гакк-приседания,strength,quads,Гакк-тренажер,weight_reps,reusable_asset,0.55,barbell-squat,Barbell Squat,https://movekit.com/exercises/barbell-squat,Quadriceps,Glutes,Barbell,"Temporary fallback: close base movement exists, but loading/modifier differs."
leg-press,Жим ногами,strength,quads,Тренажер жим ногами,weight_reps,reusable_asset,0.55,machine-leg-press,Machine Leg Press,https://movekit.com/exercises/machine-leg-press,Glutes|Quadriceps,,Machine,"Temporary fallback: close base movement exists, but loading/modifier differs."
single-leg-press,Жим одной ногой в тренажере,strength,quads,Тренажер жим ногами,weight_reps,reusable_asset,0.55,machine-leg-press,Machine Leg Press,https://movekit.com/exercises/machine-leg-press,Glutes|Quadriceps,,Machine,"Temporary fallback: close base movement exists, but loading/modifier differs."
leg-extension,Разгибание ног в тренажере,strength,quads,Тренажер разгибание ног,weight_reps,reusable_asset,0.55,machine-leg-extension,Machine Leg Extension,https://movekit.com/exercises/machine-leg-extension,Quadriceps,,Machine,"Temporary fallback: close base movement exists, but loading/modifier differs."
single-leg-extension,Разгибание одной ноги в тренажере,strength,quads,Тренажер разгибание ног,weight_reps,reusable_asset,0.55,machine-leg-extension,Machine Leg Extension,https://movekit.com/exercises/machine-leg-extension,Quadriceps,,Machine,"Temporary fallback: close base movement exists, but loading/modifier differs."
smith-machine-squat,Приседания в Смите,strength,quads,Тренажер Смита,weight_reps,reusable_asset,0.55,barbell-banded-back-squat,Barbell Banded Back Squat,https://movekit.com/exercises/barbell-banded-back-squat,Quadriceps,Glutes,Barbell,"Temporary fallback: close base movement exists, but loading/modifier differs."
pendulum-squat,Маятниковые приседания,strength,quads,Маятниковый тренажер,weight_reps,reusable_asset,0.55,barbell-squat,Barbell Squat,https://movekit.com/exercises/barbell-squat,Quadriceps,Glutes,Barbell,"Temporary fallback: close base movement exists, but loading/modifier differs."
belt-squat,Приседания с поясом,strength,quads,Тренажер belt squat,weight_reps,reusable_asset,0.55,barbell-squat,Barbell Squat,https://movekit.com/exercises/barbell-squat,Quadriceps,Glutes,Barbell,"Temporary fallback: close base movement exists, but loading/modifier differs."
safety-bar-squat,Приседания с safety bar,strength,quads,"Safety bar, стойки",weight_reps,reusable_asset,0.55,barbell-squat,Barbell Squat,https://movekit.com/exercises/barbell-squat,Quadriceps,Glutes,Barbell,"Temporary fallback: close base movement exists, but loading/modifier differs."
zercher-squat,Приседания Зерхера,strength,quads,Штанга,weight_reps,reusable_asset,0.55,barbell-squat,Barbell Squat,https://movekit.com/exercises/barbell-squat,Quadriceps,Glutes,Barbell,"Temporary fallback: close base movement exists, but loading/modifier differs."
overhead-squat,Приседания со штангой над головой,strength,quads,Штанга,weight_reps,reusable_asset,0.55,barbell-squat,Barbell Squat,https://movekit.com/exercises/barbell-squat,Quadriceps,Glutes,Barbell,"Temporary fallback: close base movement exists, but loading/modifier differs."
split-squat-quad-focus,Сплит-присед с акцентом на квадрицепс,strength,quads,Гантели или штанга,weight_reps,needs_manual_review,0.3,barbell-split-squat,Barbell Split Squat,https://movekit.com/exercises/barbell-split-squat,Glutes|Quadriceps,,Barbell,Possible candidates need visual/manual check: barbell-split-squat (0.67); bulgarian-split-squat (0.67).
bulgarian-split-squat-quad-focus,Болгарские выпады с акцентом на квадрицепс,strength,quads,"Гантели, скамья",weight_reps,renamed_match,0.75,bulgarian-split-squat,Bulgarian Split Squat,https://movekit.com/exercises/bulgarian-split-squat,Glutes|Quadriceps,,Bodyweight,High token overlap (0.75) with provider naming.
